C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
91  ;     15.44;m13        ;[SWL2011] X3                       ;X  ;16 41 40.366 +36 27 42.84              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
92  ;     15.47;m13        ;[KWR2014] M13 99822                ;*  ;16 41 40.3734 +36 27 37.912            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
93  ;     15.52;m13        ;[SWL2011] X4                       ;X  ;16 41 42.401 +36 27 28.29              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
94  ;     15.59;m13        ;2MASS J16414108+3627550            ;AB*;16 41 41.0779533936 +36 27 54.827369172;     ~   ;13.65    ;12.58    ;     ~   ;     ~   ;~              ;  14;   0
95  ;     15.71;m13        ;Cl* NGC 6205 CGY 4976              ;*  ;16 41 41.1135 +36 27 55.150            ;     ~   ;     ~   ;12.74    ;     ~   ;     ~   ;~              ;   1;   0
96  ;     15.72;m13        ;Cl* NGC 6205 CGY 4216              ;*  ;16 41 40.5863 +36 27 31.410            ;     ~   ;     ~   ;14.56    ;     ~   ;     ~   ;~              ;   2;   0
97  ;     15.99;m13        ;Cl* NGC 6205 CGY 4805              ;*  ;16 41 40.9875 +36 27 26.790            ;     ~   ;     ~   ;14.54    ;     ~   ;     ~   ;~              ;   2;   2
98  ;     16.21;m13        ;Cl* NGC 6205 CGY 5211              ;*  ;16 41 41.3125 +36 27 25.010            ;     ~   ;     ~   ;14.55    ;     ~   ;     ~   ;~              ;   2;   0
99  ;     16.21;m13        ;Gaia DR3 1328057905736994560       ;RR*;16 41 42.7148389233 +36 27 31.114909535;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
100 ;     16.26;m13        ;NGC 6205 581                       ;*  ;16 41 41.68 +36 27 24.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
101 ;     16.28;m13        ;Cl* NGC 6205 BARN 158              ;*  ;16 41 42.64 +36 27 51.6                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
102 ;     16.40;m13        ;[KWR2014] M13 57070                ;*  ;16 41 40.7232 +36 27 28.576            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
103 ;     16.55;m13        ;[KWR2014] M13 55701                ;*  ;16 41 41.1341 +36 27 25.337            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
104 ;     16.56;m13        ;Cl* NGC 6205 CGY 4484              ;*  ;16 41 40.7587 +36 27 28.000            ;     ~   ;     ~   ;15.39    ;     ~   ;     ~   ;~              ;   2;   0
105 ;     16.67;m13        ;Cl* NGC 6205 CGY 3958              ;*  ;16 41 40.4015 +36 27 33.220            ;     ~   ;     ~   ;14.05    ;     ~   ;     ~   ;~              ;   2;   0
106 ;     16.75;m13        ;[KWR2014] M13 56049                ;*  ;16 41 40.9981 +36 27 25.864            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
107 ;     16.77;m13        ;NGC 6205 537                       ;*  ;16 41 40.85 +36 27 26.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
108 ;     16.82;m13        ;[KWR2014] M13 56380                ;*  ;16 41 40.9456 +36 27 26.118            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
109 ;     17.03;m13        ;[KWR2014] M13 54955                ;*  ;16 41 41.3341 +36 27 24.107            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
110 ;     17.22;m13        ;[KWR2014] M13 58089                ;*  ;16 41 40.3877 +36 27 32.357            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
111 ;     17.26;m13        ;[KWR2014] M13 56732                ;*  ;16 41 40.7611 +36 27 27.070            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
112 ;     17.79;m13        ;NGC 6205 573                       ;*  ;16 41 41.54 +36 27 58.5                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
113 ;     17.84;m13        ;NGC 6205 655                       ;*  ;16 41 43.0771 +36 27 36.850            ;     ~   ;     ~   ;12.68    ;     ~   ;     ~   ;~              ;   5;   0
114 ;     18.01;m13        ;NGC 6205 593                       ;*  ;16 41 41.93 +36 27 58.4                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
115 ;     18.03;m13        ;NGC 6205 519                       ;*  ;16 41 40.44 +36 27 29.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   4;   0
116 ;     18.03;m13        ;[KWR2014] M13 56719                ;*  ;16 41 40.8091 +36 27 25.710            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
117 ;     18.35;m13        ;[KWR2014] M13 56036                ;*  ;16 41 41.0484 +36 27 23.817            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
118 ;     18.43;m13        ;[KWR2014] M13 56361                ;*  ;16 41 40.9409 +36 27 24.321            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
119 ;     18.76;m13        ;NGC 6205 554                       ;*  ;16 41 41.1342 +36 27 22.987            ;     ~   ;     ~   ;12.70    ;     ~   ;     ~   ;~              ;   9;   0
120 ;     18.83;m13        ;NGC 6205 509                       ;*  ;16 41 40.2717 +36 27 31.556            ;     ~   ;     ~   ;12.22    ;     ~   ;     ~   ;~              ;   5;   0
121 ;     19.02;m13        ;[KWR2014] M13 58706                ;*  ;16 41 40.1692 +36 27 33.704            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
122 ;     19.06;m13        ;Cl* NGC 6205 CGY 4234              ;*  ;16 41 40.6004 +36 27 26.330            ;     ~   ;     ~   ;14.98    ;     ~   ;     ~   ;~              ;   2;   0
